"","PID","POS","X","Y"
"1",1,1,-119.736483900332,65.4707889315834
"2",1,2,-119.139420667058,65.6849298806201
"3",1,3,-117.577664589936,65.7693975669622
"4",1,4,-116.358385850972,65.8937128002228
"5",1,5,-115.239510193316,65.9354566094946
"6",1,6,-114.393299107902,65.9902057435133
"7",1,7,-113.642150289062,66.0908272580033
"8",1,8,-113.126469019878,66.2853583075145
"9",1,9,-112.8315709478,66.5111376125132
"10",1,10,-112.657821190899,66.9170264463415
"11",1,11,-112.495852416463,67.1512244076104
"12",1,12,-112.268091889655,67.4169045550368
"13",1,13,-111.421116455485,67.6327794388835
"14",1,14,-110.552377297541,67.8010374297144
"15",1,15,-109.566425161591,67.7923177148427
"16",1,16,-108.721128599248,67.6998459380614
"17",1,17,-107.730584594827,67.3965696738522
"18",1,18,-107.618336995768,67.0145885545031
"19",1,19,-107.352821105972,66.6120475736903
"20",1,20,-107.093697251113,66.281472617376
"21",1,21,-107.028866229294,66.0959460679
"22",1,22,-106.979576323743,65.7294308171109
"23",1,23,-106.97938379257,65.3557157905516
"24",1,24,-106.742878499893,64.4574102193128
"25",1,25,-106.603857515944,63.884245089796
"26",1,26,-106.747183496917,63.3924585412688
"27",1,27,-107.599438135845,62.8025350253855
"28",1,28,-107.99010313859,62.470172838752
"29",1,29,-108.134083725551,61.6992000029995
"30",1,30,-108.864161932839,61.3143331962719
"31",1,31,-109.806361359768,61.1713881312844
"32",1,32,-110.184486807227,61.2017974910473
"33",1,33,-111.166894444286,61.3641225932497
"34",1,34,-112.505324950165,61.6301339051377
"35",1,35,-112.987413380318,61.9459842479891
"36",1,36,-113.544433017615,62.0913752106955
"37",1,37,-114.658647495578,62.4673778757899
"38",1,38,-115.570005353935,62.7296340918786
"39",1,39,-116.804039681982,63.1175651869659
"40",1,40,-117.896869722581,63.4710779608596
"41",1,41,-118.474605714073,63.5714647310076
"42",1,42,-120.244812404027,63.5443133135157
"43",1,43,-121.033464370018,63.7081103481776
"44",1,44,-121.171226200097,63.9328359480712
"45",1,45,-121.51156355427,64.2462355111724
"46",1,46,-121.283048305264,64.7086525726196
"47",1,47,-120.670257200483,64.9349518139598
"48",1,48,-119.893616291708,65.1190768135952
